,name,SID,timestamp,visitors,avgDuration,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,injected_value,anomaly
544,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 20:00:00+02:00,168.0,16.5225,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,168.0,0.0
545,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 21:00:00+02:00,107.0,15.3175,1,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,107.0,0.0
546,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 22:00:00+02:00,59.0,11.3475,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,59.0,0.0
547,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-08 23:00:00+02:00,17.0,3.83,1,-0.2588190451025215,0.965925826289068,0.7818314824680298,0.6234898018587336,17.0,0.0
548,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 00:00:00+02:00,92.0,55.27,2,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.0,1.0
549,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 01:00:00+02:00,20.0,33.739999999999995,2,0.2588190451025207,0.9659258262890684,0.9749279121818236,-0.2225209339563143,20.0,0.0
550,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 02:00:00+02:00,8.0,18.6,2,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,8.0,0.0
551,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 03:00:00+02:00,20.0,19.9075,2,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.2225209339563143,20.0,0.0
552,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 04:00:00+02:00,30.0,29.2475,2,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,30.0,0.0
553,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 05:00:00+02:00,48.0,14.5875,2,0.9659258262890684,0.2588190451025207,0.9749279121818236,-0.2225209339563143,48.0,0.0
554,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 06:00:00+02:00,108.0,18.50333333333333,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.2225209339563143,108.0,0.0
555,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 07:00:00+02:00,230.0,17.68,2,0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,230.0,0.0
556,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 08:00:00+02:00,352.0,18.11,2,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.2225209339563143,352.0,0.0
557,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 09:00:00+02:00,390.0,21.6525,2,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563143,390.0,0.0
558,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 10:00:00+02:00,433.0,16.995,2,0.4999999999999999,-0.8660254037844387,0.9749279121818236,-0.2225209339563143,433.0,0.0
559,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 11:00:00+02:00,479.0,19.52,2,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.2225209339563143,479.0,0.0
560,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 12:00:00+02:00,467.0,23.76,2,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.2225209339563143,467.0,0.0
561,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 13:00:00+02:00,437.0,14.45,2,-0.2588190451025208,-0.9659258262890684,0.9749279121818236,-0.2225209339563143,437.0,0.0
562,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 14:00:00+02:00,470.0,18.35,2,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.2225209339563143,470.0,0.0
563,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 15:00:00+02:00,492.0,17.9,2,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.2225209339563143,492.0,0.0
564,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 16:00:00+02:00,501.0,19.6575,2,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,501.0,0.0
565,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 17:00:00+02:00,431.0,17.5175,2,-0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,431.0,0.0
566,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 18:00:00+02:00,391.0,17.625,2,-1.0,-1.8369701987210294e-16,0.9749279121818236,-0.2225209339563143,391.0,0.0
567,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 19:00:00+02:00,256.0,15.4375,2,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.2225209339563143,256.0,0.0
568,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 20:00:00+02:00,213.0,16.165,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,213.0,0.0
569,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 21:00:00+02:00,115.0,16.494,2,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.2225209339563143,115.0,0.0
570,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 22:00:00+02:00,73.0,12.41,2,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.2225209339563143,73.0,0.0
571,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-09 23:00:00+02:00,13.0,4.125,2,-0.2588190451025215,0.965925826289068,0.9749279121818236,-0.2225209339563143,13.0,0.0
572,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-10 00:00:00+02:00,16.0,20.5425,2,-0.2588190451025215,0.965925826289068,0.9749279121818236,-0.2225209339563143,16.0,0.0
